,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long
385797,53.0,0.005,10.0,11.7,0.003,13.8,0.032,0.13,-23.542818,115.31841
385798,15.0,107.0,34700.0,31500.0,4.58,14.9,0.477,0.06,-23.544032,115.317112
385799,174.5,0.075,500.0,120.5,0.0026,9.82,0.017,0.439,-22.209707,116.103589
385800,432.0,0.023,400.0,30.9,0.0073,75.1,0.0025,0.429,-22.207323,116.103784
385801,342.0,0.036,200.0,8.83,0.0027,35.2,0.014,0.24,-22.207155,116.103602
385802,299.0,0.028,400.0,10.6,0.0009,13.55,0.008,0.37,-22.207872,116.103233
385803,299.0,0.021,316.0,3.19,9.9999995e-05,26.3,0.034,0.551,-22.211169,116.106599
385948,1.0,0.01,3.8,21.5,0.001,0.4,0.0025,0.13,-32.13535,122.131013
385949,2.0,0.01,4.4,29.7,0.001,0.7,0.0025,0.14,-32.13845,122.147799
385950,4.0,0.03,3.6,30.8,0.0005,1.1,0.011,0.16,-32.139325,122.149106
385951,9.0,0.03,5.8,12.3,0.001,1.9,0.022,0.15,-32.139516,122.149391
385952,2.0,0.03,2.6,39.1,0.0005,1.1,0.013,0.18,-32.139316,122.150463
385953,7.0,0.01,2.0,8.5,0.001,0.7,0.0025,0.18,-32.142457,122.146702
385954,13.0,0.01,3.7,6.8,0.002,0.7,0.0025,0.14,-32.149048,122.14347
385955,18.0,0.01,2.1,17.2,0.001,1.2,0.0025,0.15,-32.148761,122.143695
385956,10.0,0.02,1.8,7.2,0.0005,0.3,0.0025,0.2,-32.148648,122.145754
385957,10.0,0.005,2.7,13.4,0.001,0.7,0.0025,0.17,-32.148861,122.146568
386022,1.0,0.3,47.7,7.5,0.042,1.9,0.0025,0.025,-28.207959,116.725119
386261,234.0,0.01,225.0,1.6,0.005,27.1,0.058,0.64,-28.47845,121.139483
386262,190.0,0.01,29.0,2.1,0.0025,37.6,0.024,0.08,-28.469129,121.136838
386263,159.0,0.05,498.0,13.6,0.158,17.2,0.058,0.07,-28.466914,121.13462
386264,207.0,0.03,121.5,12.7,0.0025,40.6,0.062,0.05,-28.477846,121.14607
386265,9.0,0.02,11.4,6.9,0.0025,16.7,0.11,0.21,-28.481621,121.143635
386273,727.0,0.005,37.3,2.1,0.0025,69.9,0.007,0.27,-30.753518,121.841819
386274,110.0,0.025,59.2,32.4,0.0005,40.8,0.11,3.16,-32.324735,122.803508
386275,72.0,0.025,53.1,4.1,0.0005,54.7,0.06,1.41,-32.307275,122.807147
386276,404.0,0.025,149.6,7.3,0.0005,357.6,0.03,3.1,-32.3113,122.796696
386277,142.0,0.025,110.1,5.2,0.0005,22.3,0.05,3.41,-32.268116,122.893023
386278,77.0,0.05,127.5,4.4,0.0005,68.1,0.06,1.21,-32.218945,122.845411
386279,68.0,0.025,65.6,2.6,0.0005,52.7,0.06,1.31,-32.223268,122.846836
386280,95.0,0.025,55.0,5.8,0.0005,50.6,0.07,1.88,-32.22446,122.847524
386281,78.0,0.025,78.5,5.1,0.0005,58.0,0.06,1.4,-32.225856,122.853741
386282,79.0,0.025,45.7,7.2,0.0005,40.5,0.08,1.62,-32.226318,122.855268
386283,73.0,0.025,85.5,3.0,0.0005,114.1,0.05,1.54,-32.233141,122.857348
386284,71.0,0.025,51.2,3.1,0.0005,58.9,0.06,1.33,-32.068823,122.958267
386285,60.0,0.025,68.6,2.8,0.0005,55.3,0.04,1.19,-32.086988,122.974493
386286,114.0,0.025,42.1,5.2,0.0005,54.2,0.09,1.79,-32.079716,122.971242
386287,87.0,0.025,43.9,3.8,0.0005,51.4,0.07,1.4,-32.079716,122.971242
386288,47.0,0.025,85.6,2.2,0.0005,120.3,0.04,0.81,-32.010546,122.943829
386289,71.0,0.025,41.0,3.8,0.0005,61.9,0.06,0.89,-32.014689,122.948306
386290,58.0,0.025,42.3,1.5,0.0005,58.6,0.06,1.23,-32.011215,122.979194
386291,43.0,0.025,56.2,2.7,0.0005,98.2,0.04,0.91,-32.07212,122.774055
